Company,Sector,Industry,Continent,Country,Market Value,Sales,Profits,Assets,Rank,Forbes Webpage
String,String,String,String,String,Double,Double,Double,Double,Integer,URL
ICBC,Financials,Major Banks,Asia,China,215.6,148.7,42.7,3124.9,1,http://www.forbes.com/companies/icbc/
China Construction Bank,Financials,Regional Banks,Asia,China,174.4,121.3,34.2,2449.5,2,http://www.forbes.com/companies/china-construction-bank/
Agricultural Bank of China,Financials,Regional Banks,Asia,China,141.1,136.4,27,2405.4,3,http://www.forbes.com/companies/agricultural-bank-of-china/
JPMorgan Chase,Financials,Major Banks,North America,United States,229.7,105.7,17.3,2435.3,4,http://www.forbes.com/companies/jpmorgan-chase/
Berkshire Hathaway,Financials,Investment Services,North America,United States,309.1,178.8,19.5,493.4,5,http://www.forbes.com/companies/berkshire-hathaway/
Exxon Mobil,Energy,Oil & Gas Operations,North America,United States,422.3,394,32.6,346.8,6,http://www.forbes.com/companies/exxon-mobil/
General Electric,Industrials,Conglomerates,North America,United States,259.6,143.3,14.8,656.6,7,http://www.forbes.com/companies/general-electric/
Wells Fargo,Financials,Major Banks,North America,United States,261.4,88.7,21.9,1543,8,http://www.forbes.com/companies/wells-fargo/
Bank of China,Financials,Major Banks,Asia,China,124.2,105.1,25.5,2291.8,9,http://www.forbes.com/companies/bank-of-china/
PetroChina,Energy,Oil & Gas Operations,Asia,China,202,328.5,21.1,386.9,10,http://www.forbes.com/companies/petrochina/
Royal Dutch Shell,Energy,Oil & Gas Operations,Europe,Netherlands,234.1,451.4,16.4,357.5,11,http://www.forbes.com/companies/royal-dutch-shell/
Toyota Motor,Consumer Discretionary,Auto & Truck Manufacturers,Asia,Japan,193.5,255.6,18.8,385.5,12,http://www.forbes.com/companies/toyota-motor/
Bank of America,Financials,Major Banks,North America,United States,183.3,101.5,11.4,2113.8,13,http://www.forbes.com/companies/bank-of-america/
HSBC Holdings,Financials,Major Banks,Europe,United Kingdom,192.6,79.6,16.3,2671.3,14,http://www.forbes.com/companies/hsbc-holdings/
Apple,Information Technology,Computer Hardware,North America,United States,483.1,173.8,37,225.2,15,http://www.forbes.com/companies/apple/
Citigroup,Financials,Major Banks,North America,United States,145.1,94.1,13.4,1883.4,16,http://www.forbes.com/companies/citigroup/
BP,Energy,Oil & Gas Operations,Europe,United Kingdom,148.8,379.2,23.6,305.7,17,http://www.forbes.com/companies/bp/
Chevron,Energy,Oil & Gas Operations,North America,United States,227.2,211.8,21.4,253.8,18,http://www.forbes.com/companies/chevron/
Volkswagen Group,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,119,261.5,12,446.9,19,http://www.forbes.com/companies/volkswagen-group/
Wal-Mart Stores,Consumer Discretionary,Discount Stores,North America,United States,247.9,476.5,16,204.8,20,http://www.forbes.com/companies/wal-mart-stores/
Gazprom,Energy,Oil & Gas Operations,Asia,Russia,88.8,164.6,39,397.2,21,http://www.forbes.com/companies/gazprom/
Samsung Electronics,Information Technology,Semiconductors,Asia,South Korea,186.5,208.9,27.2,202.8,22,http://www.forbes.com/companies/samsung-electronics/
AT&T,Telecommunication Services,Telecommunications services,North America,United States,182.7,128.8,18.2,277.8,23,http://www.forbes.com/companies/att/
BNP Paribas,Financials,Major Banks,Europe,France,98.6,123.2,6.4,2480.5,24,http://www.forbes.com/companies/bnp-paribas/
Total,Energy,Oil & Gas Operations,Europe,France,149.8,227.9,11.2,239.1,25,http://www.forbes.com/companies/total/
Verizon Communications,Telecommunication Services,Telecommunications services,North America,United States,197.7,120.6,11.5,274.1,26,http://www.forbes.com/companies/verizon-communications/
Allianz,Financials,Diversified Insurance,Europe,Germany,77.2,131.4,8,963.1,27,http://www.forbes.com/companies/allianz/
China Mobile,Telecommunication Services,Telecommunications services,Asia,Hong Kong,184.6,102.5,19.8,192.8,28,http://www.forbes.com/companies/china-mobile/
Sinopec-China Petroleum,Energy,Oil & Gas Operations,Asia,China,94.7,445.3,10.9,228.4,29,http://www.forbes.com/companies/sinopec-china-petroleum/
Petrobras,Energy,Oil & Gas Operations,South America,Brazil,86.8,141.2,10.9,319.2,30,http://www.forbes.com/companies/petrobras/
Daimler,Consumer Discretionary,Auto & Truck Manufacturers,Europe,Germany,102.9,156.6,9.1,232.2,31,http://www.forbes.com/companies/daimler/
Microsoft,Information Technology,Software & Programming,North America,United States,343.8,83.3,22.8,153.5,32,http://www.forbes.com/companies/microsoft/
AXA Group,Financials,Diversified Insurance,Europe,France,63.4,138.9,6,1018.9,33,http://www.forbes.com/companies/axa-group/
Rosneft,Energy,Oil & Gas Operations,Asia,Russia,70,142.6,12.8,229.4,34,http://www.forbes.com/companies/rosneft/
IBM,Information Technology,Computer Services,North America,United States,202.5,99.8,16.5,126.2,35,http://www.forbes.com/companies/ibm/
Nestle,Consumer Staples,Food Processing,Europe,Switzerland,239.6,99.4,10.8,135.4,36,http://www.forbes.com/companies/nestle/
Mitsubishi UFJ Financial,Financials,Major Banks,Asia,Japan,77.7,48.6,11.3,2458.9,37,http://www.forbes.com/companies/mitsubishi-ufj-financial/
Vodafone,Telecommunication Services,Telecommunications services,Europe,United Kingdom,96.9,65.1,31.8,235.6,38,http://www.forbes.com/companies/vodafone/
